Iteracoes 4200000: pi ~= 3.141592415494, pi = 3.141592653590, diferenca absoluta = 2.380953247894e-07, tempo medio = 11.310922 ms (1 execucoes)
Iteracoes 4300000: pi ~= 3.141592421032, pi = 3.141592653590, diferenca absoluta = 2.325581860418e-07, tempo medio = 11.573533 ms (1 execucoes)
Iteracoes 4400000: pi ~= 3.141592426317, pi = 3.141592653590, diferenca absoluta = 2.272727899211e-07, tempo medio = 11.859221 ms (1 execucoes)
Iteracoes 4500000: pi ~= 3.141592431368, pi = 3.141592653590, diferenca absoluta = 2.222222912351e-07, tempo medio = 12.018790 ms (1 execucoes)
Iteracoes 4600000: pi ~= 3.141592436198, pi = 3.141592653590, diferenca absoluta = 2.173913524750e-07, tempo medio = 12.279727 ms (1 execucoes)
Iteracoes 4700000: pi ~= 3.141592440824, pi = 3.141592653590, diferenca absoluta = 2.127660803097e-07, tempo medio = 12.617681 ms (1 execucoes)
Iteracoes 4800000: pi ~= 3.141592445256, pi = 3.141592653590, diferenca absoluta = 2.083334029734e-07, tempo medio = 12.882465 ms (1 execucoes)
Iteracoes 4900000: pi ~= 3.141592449508, pi = 3.141592653590, diferenca absoluta = 2.040817062010e-07, tempo medio = 13.105189 ms (1 execucoes)
Iteracoes 5000000: pi ~= 3.141592453590, pi = 3.141592653590, diferenca absoluta = 2.000000134394e-07, tempo medio = 13.361558 ms (1 execucoes)
Iteracoes 5100000: pi ~= 3.141592457511, pi = 3.141592653590, diferenca absoluta = 1.960784117294e-07, tempo medio = 13.636470 ms (1 execucoes)
Iteracoes 5200000: pi ~= 3.141592461282, pi = 3.141592653590, diferenca absoluta = 1.923077137533e-07, tempo medio = 13.868723 ms (1 execucoes)
Iteracoes 5300000: pi ~= 3.141592464910, pi = 3.141592653590, diferenca absoluta = 1.886793326022e-07, tempo medio = 14.142495 ms (1 execucoes)
Iteracoes 5400000: pi ~= 3.141592468405, pi = 3.141592653590, diferenca absoluta = 1.851852666768e-07, tempo medio = 14.468176 ms (1 execucoes)
Iteracoes 5500000: pi ~= 3.141592471772, pi = 3.141592653590, diferenca absoluta = 1.818181898372e-07, tempo medio = 14.710416 ms (1 execucoes)
Iteracoes 5600000: pi ~= 3.141592475018, pi = 3.141592653590, diferenca absoluta = 1.785714700553e-07, tempo medio = 14.979269 ms (1 execucoes)
Iteracoes 5700000: pi ~= 3.141592478151, pi = 3.141592653590, diferenca absoluta = 1.754386191877e-07, tempo medio = 15.227321 ms (1 execucoes)
Iteracoes 5800000: pi ~= 3.141592481176, pi = 3.141592653590, diferenca absoluta = 1.724138196657e-07, tempo medio = 15.531079 ms (1 execucoes)
Iteracoes 5900000: pi ~= 3.141592484098, pi = 3.141592653590, diferenca absoluta = 1.694915052752e-07, tempo medio = 15.755186 ms (1 execucoes)
Iteracoes 6000000: pi ~= 3.141592486923, pi = 3.141592653590, diferenca absoluta = 1.666666107347e-07, tempo medio = 16.061671 ms (1 execucoes)
Iteracoes 6100000: pi ~= 3.141592489655, pi = 3.141592653590, diferenca absoluta = 1.639343651938e-07, tempo medio = 16.301277 ms (1 execucoes)
Iteracoes 6200000: pi ~= 3.141592492300, pi = 3.141592653590, diferenca absoluta = 1.612902402748e-07, tempo medio = 16.566401 ms (1 execucoes)
Iteracoes 6300000: pi ~= 3.141592494860, pi = 3.141592653590, diferenca absoluta = 1.587300313410e-07, tempo medio = 16.864990 ms (1 execucoes)
Iteracoes 6400000: pi ~= 3.141592497340, pi = 3.141592653590, diferenca absoluta = 1.562499711838e-07, tempo medio = 17.139863 ms (1 execucoes)
Iteracoes 6500000: pi ~= 3.141592499744, pi = 3.141592653590, diferenca absoluta = 1.538461695816e-07, tempo medio = 17.480272 ms (1 execucoes)
Iteracoes 6600000: pi ~= 3.141592502075, pi = 3.141592653590, diferenca absoluta = 1.515151724085e-07, tempo medio = 17.655906 ms (1 execucoes)
Iteracoes 6700000: pi ~= 3.141592504336, pi = 3.141592653590, diferenca absoluta = 1.492537471393e-07, tempo medio = 17.955948 ms (1 execucoes)
Iteracoes 6800000: pi ~= 3.141592506531, pi = 3.141592653590, diferenca absoluta = 1.470588419927e-07, tempo medio = 18.182830 ms (1 execucoes)
Iteracoes 6900000: pi ~= 3.141592508662, pi = 3.141592653590, diferenca absoluta = 1.449275579546e-07, tempo medio = 18.411305 ms (1 execucoes)
Iteracoes 7000000: pi ~= 3.141592510733, pi = 3.141592653590, diferenca absoluta = 1.428571927420e-07, tempo medio = 18.716505 ms (1 execucoes)
Iteracoes 7100000: pi ~= 3.141592512745, pi = 3.141592653590, diferenca absoluta = 1.408451630880e-07, tempo medio = 18.942006 ms (1 execucoes)
Iteracoes 7200000: pi ~= 3.141592514701, pi = 3.141592653590, diferenca absoluta = 1.388889701026e-07, tempo medio = 19.270149 ms (1 execucoes)
Iteracoes 7300000: pi ~= 3.141592516603, pi = 3.141592653590, diferenca absoluta = 1.369864119916e-07, tempo medio = 19.500449 ms (1 execucoes)
Iteracoes 7400000: pi ~= 3.141592518455, pi = 3.141592653590, diferenca absoluta = 1.351352141299e-07, tempo medio = 19.747693 ms (1 execucoes)
Iteracoes 7500000: pi ~= 3.141592520256, pi = 3.141592653590, diferenca absoluta = 1.333334447295e-07, tempo medio = 20.094563 ms (1 execucoes)
Iteracoes 7600000: pi ~= 3.141592522011, pi = 3.141592653590, diferenca absoluta = 1.315790281176e-07, tempo medio = 20.319662 ms (1 execucoes)
Iteracoes 7700000: pi ~= 3.141592523720, pi = 3.141592653590, diferenca absoluta = 1.298701564068e-07, tempo medio = 20.612058 ms (1 execucoes)
Iteracoes 7800000: pi ~= 3.141592525385, pi = 3.141592653590, diferenca absoluta = 1.282051975693e-07, tempo medio = 20.822698 ms (1 execucoes)
Iteracoes 7900000: pi ~= 3.141592527007, pi = 3.141592653590, diferenca absoluta = 1.265823628138e-07, tempo medio = 21.039272 ms (1 execucoes)
Iteracoes 8000000: pi ~= 3.141592528590, pi = 3.141592653590, diferenca absoluta = 1.250000964959e-07, tempo medio = 21.374832 ms (1 execucoes)
Iteracoes 8100000: pi ~= 3.141592530133, pi = 3.141592653590, diferenca absoluta = 1.234568500763e-07, tempo medio = 21.697836 ms (1 execucoes)
Iteracoes 8200000: pi ~= 3.141592531639, pi = 3.141592653590, diferenca absoluta = 1.219512419937e-07, tempo medio = 21.893179 ms (1 execucoes)
Iteracoes 8300000: pi ~= 3.141592533108, pi = 3.141592653590, diferenca absoluta = 1.204818960154e-07, tempo medio = 22.249967 ms (1 execucoes)
Iteracoes 8400000: pi ~= 3.141592534542, pi = 3.141592653590, diferenca absoluta = 1.190475722446e-07, tempo medio = 22.409472 ms (1 execucoes)
Iteracoes 8500000: pi ~= 3.141592535943, pi = 3.141592653590, diferenca absoluta = 1.176470503239e-07, tempo medio = 22.727408 ms (1 execucoes)
Iteracoes 8600000: pi ~= 3.141592537311, pi = 3.141592653590, diferenca absoluta = 1.162790503884e-07, tempo medio = 23.012450 ms (1 execucoes)
Iteracoes 8700000: pi ~= 3.141592538647, pi = 3.141592653590, diferenca absoluta = 1.149425101765e-07, tempo medio = 23.412813 ms (1 execucoes)
Iteracoes 8800000: pi ~= 3.141592539953, pi = 3.141592653590, diferenca absoluta = 1.136363061427e-07, tempo medio = 23.722288 ms (1 execucoes)
Iteracoes 8900000: pi ~= 3.141592541230, pi = 3.141592653590, diferenca absoluta = 1.123595669839e-07, tempo medio = 23.838183 ms (1 execucoes)
Iteracoes 9000000: pi ~= 3.141592542479, pi = 3.141592653590, diferenca absoluta = 1.111111411767e-07, tempo medio = 24.129246 ms (1 execucoes)
Iteracoes 9100000: pi ~= 3.141592543700, pi = 3.141592653590, diferenca absoluta = 1.098900814789e-07, tempo medio = 24.781933 ms (1 execucoes)
Iteracoes 9200000: pi ~= 3.141592544894, pi = 3.141592653590, diferenca absoluta = 1.086956271656e-07, tempo medio = 25.154059 ms (1 execucoes)
Iteracoes 9300000: pi ~= 3.141592546063, pi = 3.141592653590, diferenca absoluta = 1.075268674100e-07, tempo medio = 24.937637 ms (1 execucoes)
Iteracoes 9400000: pi ~= 3.141592547207, pi = 3.141592653590, diferenca absoluta = 1.063829597747e-07, tempo medio = 25.157707 ms (1 execucoes)
Iteracoes 9500000: pi ~= 3.141592548327, pi = 3.141592653590, diferenca absoluta = 1.052631479759e-07, tempo medio = 25.538310 ms (1 execucoes)
Iteracoes 9600000: pi ~= 3.141592549423, pi = 3.141592653590, diferenca absoluta = 1.041666948254e-07, tempo medio = 25.633303 ms (1 execucoes)
Iteracoes 9700000: pi ~= 3.141592550497, pi = 3.141592653590, diferenca absoluta = 1.030928120649e-07, tempo medio = 25.952198 ms (1 execucoes)
Iteracoes 9800000: pi ~= 3.141592551549, pi = 3.141592653590, diferenca absoluta = 1.020408548769e-07, tempo medio = 26.239818 ms (1 execucoes)
Iteracoes 9900000: pi ~= 3.141592552580, pi = 3.141592653590, diferenca absoluta = 1.010101202681e-07, tempo medio = 26.412566 ms (1 execucoes)
Iteracoes 10000000: pi ~= 3.141592553590, pi = 3.141592653590, diferenca absoluta = 1.000000016127e-07, tempo medio = 26.732356 ms (1 execucoes)
Iteracoes 10100000: pi ~= 3.141592554580, pi = 3.141592653590, diferenca absoluta = 9.900994424328e-08, tempo medio = 27.020163 ms (1 execucoes)
Iteracoes 10200000: pi ~= 3.141592555551, pi = 3.141592653590, diferenca absoluta = 9.803925182794e-08, tempo medio = 27.250473 ms (1 execucoes)
Iteracoes 10300000: pi ~= 3.141592556502, pi = 3.141592653590, diferenca absoluta = 9.708739989733e-08, tempo medio = 27.523783 ms (1 execucoes)
Iteracoes 10400000: pi ~= 3.141592557436, pi = 3.141592653590, diferenca absoluta = 9.615387819295e-08, tempo medio = 27.799579 ms (1 execucoes)
Iteracoes 10500000: pi ~= 3.141592558352, pi = 3.141592653590, diferenca absoluta = 9.523808719436e-08, tempo medio = 28.070503 ms (1 execucoes)
Iteracoes 10600000: pi ~= 3.141592559250, pi = 3.141592653590, diferenca absoluta = 9.433962588901e-08, tempo medio = 28.279622 ms (1 execucoes)
Iteracoes 10700000: pi ~= 3.141592560132, pi = 3.141592653590, diferenca absoluta = 9.345787832515e-08, tempo medio = 28.550899 ms (1 execucoes)
Iteracoes 10800000: pi ~= 3.141592560997, pi = 3.141592653590, diferenca absoluta = 9.259250433047e-08, tempo medio = 28.826565 ms (1 execucoes)
Iteracoes 10900000: pi ~= 3.141592561847, pi = 3.141592653590, diferenca absoluta = 9.174296877745e-08, tempo medio = 29.206668 ms (1 execucoes)
